Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
Core_Temp_°C_,sTNF-R2,Group_22C vs Group_15C (Reference),-1137.7637004508824,0.1055176535963154,-2515.4205639130187,239.89316301125405,0.17953432126482627,0.00860397152833181,630.4454487464885,0.2716132749135606,-507.3182517043939,0.21196832658852482,-244.62874033842945,0.44984041832948307,0.9983944120778494,False
Mean_Skin_Temp_°C_,IFN-y,Group_8C vs Group_15C (Reference),-2.6565025173610333,0.11475532951460853,-5.957753299997744,0.6447482652756773,0.14227749623125474,-0.036414692053900355,2.8632386439089514,0.04597289966854123,-1.9931868836886655,0.5836229705398619,0.20673612654791818,0.8147476451696662,0.9983944120778494,False
Mean_Skin_Temp_°C_,IL-12p40,Group_8C vs Group_22C Contrast,10.028075054567195,0.11540245390684092,-2.456318786807971,22.512468895942362,0.23791953112336217,0.07915276677406269,2.8895676250423055,0.5440650150121745,-9.321518596653503,0.12817160028861663,0.7065564579136914,0.6848090022412894,0.9983944120778494,False
Mean_Skin_Temp_°C_,IL-12p40,Group_22C vs Group_15C (Reference),-12.211086221695808,0.11561076450308133,-27.421632035430026,2.9994595920384093,0.23791953112336217,0.07915276677406269,2.8895676250423055,0.5440650150121745,-9.321518596653503,0.12817160028861663,0.7065564579136914,0.6848090022412894,0.9983944120778494,False
Mean_Body_Temp_°C_,IL-11,Group_22C vs Group_15C (Reference),-0.9761838010833848,0.11618509572012124,-2.194069174727931,0.24170157256116154,0.22704850146093725,0.06601693926529928,0.9417588095762801,0.001971877497528839,-0.03442499150710465,0.9493332293858983,-0.18453786713116394,0.8081079576585632,0.9983944120778494,False
Mean_Body_Temp_°C_,TWEAK_per_TNFSF12,Group_8C vs Group_22C Contrast,73.18470667058679,0.12529409043480477,-20.389298641715357,166.75871198288894,0.08861824709879762,-0.10125295142228619,18.736859464709713,0.7077606080298846,-47.05471141589756,0.216185177186198,26.129995254689234,0.3648967116003794,0.9983944120778494,False
Core_Temp_°C_,IL-10,Group_8C vs Group_15C (Reference),-4.10655463169651,0.1339478527660249,-9.476958442278946,1.263849178885926,0.124037148063875,-0.058455112756151006,2.9198711390871304,0.023915544243182357,0.0044547378035191265,0.9991273943498085,-1.1866834926093799,0.6232828485891817,0.9983944120778494,False
Muscle_Temp2_°C_,IL-10,Group_8C vs Group_22C Contrast,1.655884037259363,0.13520849801881282,-0.5166768594939657,3.828444934012692,0.3442171063905982,0.2075956702219729,0.21711293913079846,0.7832848624222286,-2.3997928010095846,0.00016825810521270412,-0.7439087637502219,0.4118789891734993,0.9983944120778494,False
Core_Temp_°C_,Osteopontin,Group_8C vs Group_15C (Reference),-10812.123597476057,0.13575301378545437,-25017.412712776837,3393.165517824724,0.23436632326053375,0.07485930727314505,3973.7878930116262,0.3082817788591823,-10184.368158459272,0.005400488081243271,-6838.335704464431,0.26295673055443425,0.9983944120778494,False
Mean_Skin_Temp_°C_,TWEAK_per_TNFSF12,Group_8C vs Group_22C Contrast,33.3357164246283,0.13583632555123298,-10.471869991143357,77.14330284039997,0.10910139428691068,-0.07650248190331621,6.226032304492439,0.8192192565770955,-19.7213780773096,0.2953784271349418,13.614338347318707,0.2571516069548978,0.9983944120778494,False
Muscle_Temp2_°C_,TSLP,Group_8C vs Group_22C Contrast,9.805592868147379,0.1421550975874005,-3.2880134069104034,22.89919914320516,0.17959023604948665,0.008671535226463134,2.367105681820314,0.6547704979016242,-9.303371560116046,0.009543133250537572,0.502221308031332,0.9289727505969827,0.9983944120778494,False
Core_Temp_°C_,APRIL_per_TNFSF13,Group_8C vs Group_15C (Reference),-17138.501675597072,0.14367583134949835,-40110.70711655252,5833.703765358376,0.2293326875829409,0.0687769974960536,12635.214096870292,0.21259164044717593,6017.4827178213,0.6049041081079647,-4503.28757872678,0.4440628677080043,0.9983944120778494,False
Core_Temp_°C_,sCD30_per_TNFRSF8,Group_22C vs Group_15C (Reference),-54.16819608398376,0.14392087884939614,-126.81889660764408,18.48250443967656,0.18804226606799257,0.018884404832157697,37.381672223091144,0.06839705925474278,-16.786523860892615,0.5866448124908761,-31.780872893947574,0.4620378502384046,0.9983944120778494,False
Core_Temp_°C_,sCD30_per_TNFRSF8,Group_8C vs Group_15C (Reference),-69.16254511703872,0.14819040219901636,-162.91116855107953,24.58607831700209,0.18804226606799257,0.018884404832157697,37.381672223091144,0.06839705925474278,-16.786523860892615,0.5866448124908761,-31.780872893947574,0.4620378502384046,0.9983944120778494,False
Mean_Body_Temp_°C_,BAFF_per_TNFSF13B,Group_8C vs Group_15C (Reference),-700.6471494613927,0.16262629876539114,-1684.1393228457086,282.84502392292313,0.09905692979598257,-0.08863954316318767,400.6442506026182,0.3551151132823963,-0.15626177289777843,0.9997565879068637,-300.00289885877453,0.2359573824004535,0.9983944120778494,False
Core_Temp_°C_,Pentraxin-3,Group_8C vs Group_15C (Reference),-142.93377675880566,0.16287418421770639,-343.68698096788046,57.81942745026913,0.2656052489171806,0.11260634244159329,71.45876811855823,0.4249041745390887,-94.82854214164652,0.3188196932552534,-71.47500864024744,0.15050537985029822,0.9983944120778494,False
Core_Temp_°C_,sIL-6Ra,Group_22C vs Group_15C (Reference),-1953.0937012031422,0.16806905803808925,-4730.151468754124,823.9640663478394,0.2047077402925066,0.039021852853445504,1296.253750085243,0.1368003630199051,-656.8399511178993,0.5566357454787925,-1312.8409958894129,0.24594410463742622,0.9983944120778494,False
Muscle_Temp2_°C_,IL-11,Group_8C vs Group_22C Contrast,0.6381916729798924,0.16877160784714207,-0.2707536713620785,1.5471370173218633,0.28889940828107497,0.1407534516729656,-0.21473362079675562,0.6058850221046058,-0.5286522669578363,0.034426289805602917,0.10953940602205614,0.7791543427158227,0.9983944120778494,False
Mean_Body_Temp_°C_,IL-11,Group_8C vs Group_15C (Reference),-1.126296676707444,0.16881274718147432,-2.7305516738386224,0.4779583204237343,0.22704850146093725,0.06601693926529928,0.9417588095762801,0.001971877497528839,-0.03442499150710465,0.9493332293858983,-0.18453786713116394,0.8081079576585632,0.9983944120778494,False
Core_Temp_°C_,IL-12p40,Group_8C vs Group_15C (Reference),-31.337863355120728,0.169218385572396,-76.01685284032509,13.341126130083634,0.23657826950972516,0.07753207565758458,14.221964125956129,0.1443586220954729,14.730609919212533,0.7303797081053576,-17.115899229164597,0.40625146308611204,0.9983944120778494,False
Mean_Skin_Temp_°C_,IL-12p70,Group_22C vs Group_15C (Reference),-0.9777304986540231,0.17125372392788762,-2.3783558105196136,0.4228948132115674,0.22789743751727598,0.06704273700004182,0.7023308190333568,0.24991451819551602,-0.27539967962066625,0.45857483653185893,-0.01010853744222584,0.9295004871903036,0.9983944120778494,False
Mean_Skin_Temp_°C_,IL-11,Group_22C vs Group_15C (Reference),-0.5153103531856539,0.1717856350289544,-1.254423494906992,0.22380278853568425,0.2113255886840515,0.047018419659895616,0.3906841899399235,0.1575337335665381,-0.12462616324573039,0.6270918586597092,-0.032623271568839096,0.8583809878420794,0.9983944120778494,False
Core_Temp_°C_,MMP-2,Group_8C vs Group_15C (Reference),-9119.657144793056,0.17212260419530734,-22210.32742650408,3971.0131369179708,0.12393813592663594,-0.05857475242198151,4690.909981906464,0.3736924392685923,-2089.9718169979587,0.5248095707164762,-4428.747162886592,0.2799615479687412,0.9983944120778494,False
Muscle_Temp2_°C_,IL-28A_per_IFN-lambda2,Group_8C vs Group_15C (Reference),5.207808884678103,0.18135562242076864,-2.4288614597245077,12.844479229080715,0.28097821428150216,0.13118200892348186,-4.823576216067018,0.03312233091205846,-5.280659051550261,0.10340893673280327,0.3842326686110855,0.90355893426897,0.9983944120778494,False
Core_Temp_°C_,gp130_per_sIL-6Rb,Group_8C vs Group_22C Contrast,-9429.726721234154,0.18174966838527007,-23270.105804450184,4410.652361981878,0.37803007431057345,0.24845300645860968,3865.84364180521,0.26637399380390747,-8383.070724312873,0.08993559350325331,-17812.797445547025,0.00041132907112229056,0.9983944120778494,False
