TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
.,8°C,X10min - X2hrs,-0.16282996270000039,0.36168662842226107,27.0,-0.4501962469840053,0.6561630311166751,Within-Group,Phenylalanine,0.9995801204593276,False
X10min,.,15°C - 22°C,1.0197163498999977,1.1109754099258005,27.0,0.9178568137418112,0.36682070120679555,Between-Group,Proline,0.9587581238028823,False
X10min,.,15°C - 8°C,-0.3333175739000008,1.1109754099258005,27.0,-0.30002245857292403,0.7664578107489962,Between-Group,Proline,0.9995801204593276,False
X10min,.,22°C - 8°C,-1.3530339237999984,1.1109754099258005,27.0,-1.2178792723147351,0.23380631135307364,Between-Group,Proline,0.9583024215269884,False
X2hrs,.,15°C - 22°C,-0.30778417329999974,0.36898806307413035,27.0,-0.8341304342904051,0.41152687793507225,Between-Group,Proline,0.9639481585472424,False
X2hrs,.,15°C - 8°C,0.09169371910000004,0.3689880630741304,27.0,0.24850050252595463,0.8056276209469746,Between-Group,Proline,0.9995801204593276,False
X2hrs,.,22°C - 8°C,0.3994778923999998,0.3689880630741304,27.0,1.0826309368163596,0.2885466206658871,Between-Group,Proline,0.9587581238028823,False
.,15°C,X10min - X2hrs,-0.6802118284000016,0.8549561403753223,27.0,-0.7956102029998771,0.4331979826519413,Within-Group,Proline,0.974695460966868,False
.,22°C,X10min - X2hrs,-2.007712351599999,0.8549561403753223,27.0,-2.3483220445888855,0.026433846070547072,Within-Group,Proline,0.7296680224763044,False
.,8°C,X10min - X2hrs,-0.2552005354000008,0.8549561403753223,27.0,-0.2984954705255042,0.7676102595204788,Within-Group,Proline,0.9995801204593276,False
X10min,.,15°C - 22°C,1.0734430452999986,0.6354501465960339,27.0,1.6892639824700582,0.10268605763638489,Between-Group,Serine,0.8158728173140892,False
X10min,.,15°C - 8°C,0.5662602117999995,0.6354501465960339,27.0,0.8911166593214753,0.38073915949009085,Between-Group,Serine,0.9639481585472424,False
X10min,.,22°C - 8°C,-0.5071828334999989,0.6354501465960339,27.0,-0.7981473231485827,0.43174948632911125,Between-Group,Serine,0.974695460966868,False
X2hrs,.,15°C - 22°C,-0.5806372855999999,0.6410858638813888,27.0,-0.9057090762922004,0.3731016916958745,Between-Group,Serine,0.9626770589263999,False
X2hrs,.,15°C - 8°C,0.19553891480000019,0.6410858638813889,27.0,0.30501205192098574,0.7626958808648863,Between-Group,Serine,0.9995801204593276,False
