Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
Body_Fat__Percent,L-+-Erythrulose,Group_22C vs Group_15C (Reference),0.7795426735675469,0.050883816364011486,-0.0029967329354717576,1.5620820800705655,0.22462957027373898,0.06309406408076801,-0.2604604252869891,0.43000398569017906,0.5190822482805578,0.020876298058214227,0.11383187054438015,0.8142886246051775,0.9967266517932953,False
Weight_kg,Glyceraldehyde-3-PMOX,Group_22C vs Group_15C (Reference),0.1659886257434402,0.05145804235251622,-0.001050309589043008,0.3330275610759234,0.2901090816747155,0.14221514035694793,-0.13658338000678477,0.0390631882215977,0.029405245736655428,0.5838896708603207,0.00742787879099005,0.8633284907712804,0.9967266517932953,False
BSA_m2,Arginine_[-NH3],Group_8C vs Group_15C (Reference),3.7593774153886974,0.052196943963496514,-0.035740756611843505,7.554495587389239,0.15822827535953699,-0.01714083394055943,-2.4854398477003024,0.1630763473659732,2.3028567394026043,0.5552721016707318,1.273937567688395,0.0926833485370353,0.9967266517932953,False
Weight_kg,"9-Hexadecenoic_acid,_Z-",Group_22C vs Group_15C (Reference),-0.12960575442689334,0.05245716289220387,-0.2605882584727364,0.0013767496189497352,0.23299665307236872,0.07320428912911225,0.04794314505316974,0.10953789159248803,-0.0816626093737236,0.1716170539853874,-0.044288284544468495,0.502345430876673,0.9967266517932953,False
Age_years,"1,5-Anhydrohexitol",Group_22C vs Group_15C (Reference),0.35607627376672485,0.052634816446873935,-0.004053185619586841,0.7162057331530365,0.21593232998903766,0.05258489873675387,-0.2172986162465058,0.21114377659498995,0.13877765752021906,0.020059576852226924,0.1776988330496064,0.29974595350967737,0.9967266517932953,False
BSA_m2,"9-Hexadecenoic_acid,_Z-",Group_22C vs Group_15C (Reference),-9.227093047661974,0.0534086491227189,-18.589668815742336,0.13548272041838594,0.2061315864690676,0.040742333650123363,4.468210547283877,0.08693770767724171,-4.758882500378097,0.23423442875827938,-2.900634720056388,0.3986838443977936,0.9967266517932953,False
Age_years,Glutamine_[-H2O],Group_8C vs Group_15C (Reference),0.1129241987633848,0.05451819433520714,-0.0021888098411124712,0.22803720736788208,0.41741628393414654,0.2960446764204271,-0.020113419582291833,0.6561846876212576,0.1700650680549763,0.06508794922196715,0.09281077918109297,0.01339155996347463,0.9967266517932953,False
Age_years,1-Monopalmitin,Group_8C vs Group_15C (Reference),-0.12329565997633188,0.05476527329732216,-0.24910958078001114,0.0025182608273473794,0.16641390393484357,-0.007249866078730571,0.05708663275913338,0.2312212139704355,0.0005289161554145813,0.994917811135265,-0.0662090272171985,0.12341614821294256,0.9967266517932953,False
BMI_kg·m2,Butanoic_acid,Group_8C vs Group_15C (Reference),-1.0831230242384826,0.05511778715001763,-2.18997456976862,0.023728521291655147,0.3060885118649799,0.16152361850351737,0.31756580308880145,0.10480388632942796,0.47840080224984954,0.14152249089130597,-0.7655572211496812,0.14838762605297728,0.9967266517932953,False
Body_Density_kg_per_m3,Indole-3-Latic_Acid,Group_8C vs Group_15C (Reference),-51.43876994238613,0.055480256527009546,-104.08267619821864,1.2051363134463742,0.4074297803117828,0.2839776512100709,40.52584737441207,0.03846667547964334,0.5142717544897053,0.9879103589875895,-10.912922567974057,0.552846586146791,0.9967266517932953,False
BMI_kg·m2,Arginine_[-NH3],Group_8C vs Group_15C (Reference),0.16818813563211005,0.055480758822471846,-0.0039407599144520855,0.3403170311786722,0.3312005573737573,0.19186734015995677,-0.0928716544984553,0.14971886789114175,0.31673327814937974,0.3688876372861827,0.07531648113365474,0.20660340505193497,0.9967266517932953,False
VO2max_ml_per_kg_per_min,Indole-3-Latic_Acid,Group_22C vs Group_15C (Reference),-0.07938910989574366,0.055716887066220126,-0.16071686360982695,0.001938643818339636,0.4376690864417593,0.3205168127837925,0.06951786402180864,0.012807203831770338,-0.009871245873935022,0.7477077914934127,-0.029640348306745598,0.13608728066185027,0.9967266517932953,False
BSA_m2,"2-Ethyl-3-hydroxypropionic_acid,_di-",Group_8C vs Group_22C Contrast,-14.190808939077503,0.05577766284909908,-28.732025934698893,0.3504080565438876,0.3081356946264481,0.1639972976736248,-2.2153927547903924,0.5655447540040347,0.6823161646635238,0.9207104423875039,-13.508492774413977,1.9350807962670302e-06,0.9967266517932953,False
Body_Fat__Percent,Indole-3-Latic_Acid,Group_8C vs Group_15C (Reference),0.11812692736518168,0.056032883530041884,-0.0030406306006663386,0.2392944853310297,0.4106251061987958,0.28783866999021157,-0.0930713064137304,0.034256330064778656,-0.0006981738518966885,0.9929515159717393,0.02505562095145128,0.5643005582769227,0.9967266517932953,False
VO2max_ml_per_kg_per_min,1-Monopalmitin,Group_8C vs Group_22C Contrast,-0.19557388175931623,0.05618227828925086,-0.396307533211479,0.005159769692846539,0.1657109099597518,-0.008099317131966544,-0.012256298166622055,0.8271635532335682,0.12846004178815992,0.01885465085297744,-0.0671138399711563,0.4382580827490685,0.9967266517932953,False
Weight_kg,"1,3-Dioxolane-2-methanol",Group_22C vs Group_15C (Reference),-0.39812943981804383,0.0565387462765106,-0.8073463980075472,0.011087518371459493,0.13591911831514591,-0.04409773203586531,0.2627878755414057,0.07120078203404892,-0.13534156427663813,0.3656001839534029,-0.09839681059432975,0.9041684832060115,0.9967266517932953,False
Weight_kg,Methionine,Group_22C vs Group_15C (Reference),0.17937655558349316,0.056638540147819876,-0.005069930777698711,0.36382304194468507,0.4058469001389059,0.2820650043345113,-0.015391235799082654,0.5926418104462421,0.1639853197844105,0.06722755322159335,0.025965390794606618,0.7461975000878107,0.9967266517932953,False
