Protein,Effect,N,num_df,den_df,F_statistic,p_value_raw,Partial_Eta_Squared,p_value_FDR,Significant_FDR
2-Aminoadipic acid,TimePoint,30,1.0,27.0,0.9523332840257476,0.33778909543382263,0.03406990301485811,0.7511350268482675,False
2-Aminoheptanedioic acid,TimePoint:Group,30,2.0,27.0,0.745665901483638,0.4839368410197359,0.05234335177030786,0.8843754906189962,False
2-Aminoheptanedioic acid,Group,30,2.0,27.0,2.301167231786179,0.11945438231907528,0.1456327370016736,0.9772975969663831,False
2-Aminoheptanedioic acid,TimePoint,30,1.0,27.0,4.094809034666088,0.05301639544889454,0.1316878656531058,0.29954263428625416,False
"2-Ethyl-3-hydroxypropionic acid, di-",TimePoint:Group,30,2.0,27.0,0.23748597183701328,0.7902378702921863,0.01728744053488966,0.9454739748064932,False
"2-Ethyl-3-hydroxypropionic acid, di-",Group,30,2.0,27.0,0.08142090538793055,0.9220310712266795,0.005995021136236916,0.9916550460599678,False
"2-Ethyl-3-hydroxypropionic acid, di-",TimePoint,30,1.0,27.0,0.1450459283371228,0.7062955355795506,0.005343366473574729,0.8791266035576746,False
2-Keto-3-methylvaleric acid mo-tms pk2,TimePoint:Group,30,2.0,27.0,2.4287044311490473,0.10716914105343632,0.1524734445068643,0.7663524485767527,False
2-Keto-3-methylvaleric acid mo-tms pk2,Group,30,2.0,27.0,0.023399249166207257,0.9768921774592578,0.0017302786625670282,0.9916550460599678,False
2-Keto-3-methylvaleric acid mo-tms pk2,TimePoint,30,1.0,27.0,0.24421250647192683,0.625176792185393,0.008963830626923555,0.8791266035576746,False
"2,3-Butanediol",TimePoint:Group,30,2.0,27.0,0.8145462361706844,0.45342813902560786,0.05690339202736653,0.869659363243263,False
"2,3-Butanediol",Group,30,2.0,27.0,0.5659562442701713,0.5744084715448657,0.04023588829950442,0.9916550460599678,False
"2,3-Butanediol",TimePoint,30,1.0,27.0,0.895808728249548,0.3523022692297184,0.03211266384051378,0.7511350268482675,False
"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)",TimePoint:Group,30,2.0,27.0,0.3124708323358435,0.7342472465253145,0.022622370474392608,0.9387986007508663,False
"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)",Group,30,2.0,27.0,0.12257135887180083,0.8851321975131707,0.008997666860594224,0.9916550460599678,False
"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)",TimePoint,30,1.0,27.0,3.3151047958007522,0.07974708212245712,0.10935488490410762,0.37421702738985785,False
4-Aminobutanoic acid,TimePoint:Group,30,2.0,27.0,0.39196390876980824,0.6795112463959434,0.028215154555819626,0.9097607408598654,False
4-Aminobutanoic acid,Group,30,2.0,27.0,0.020156875688744937,0.9800596493205465,0.0014908758732666777,0.9916550460599678,False
4-Aminobutanoic acid,TimePoint,30,1.0,27.0,0.14138847093431195,0.7098429784509456,0.005209330800659838,0.8791266035576746,False
"9-Hexadecenoic acid, (Z)-",TimePoint:Group,30,2.0,27.0,0.19214372068197105,0.8263067717076764,0.014033136417618676,0.9454739748064932,False
"9-Hexadecenoic acid, (Z)-",Group,30,2.0,27.0,0.38044138783317605,0.6871659647525212,0.02740845029370967,0.9916550460599678,False
"9-Hexadecenoic acid, (Z)-",TimePoint,30,1.0,27.0,0.3722441161318756,0.5468848832652948,0.013599327645645719,0.8791266035576746,False
"alpha-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",TimePoint:Group,30,2.0,27.0,0.19507566849626248,0.8239217855577556,0.014244219836259,0.9454739748064932,False
"alpha-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",Group,30,2.0,27.0,0.21109600169292217,0.8110199867962157,0.01539599764065965,0.9916550460599678,False
"alpha-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",TimePoint,30,1.0,27.0,0.1254845484404451,0.7259121763361664,0.004626075829773876,0.8791266035576746,False
"Aminomalonic acid, tris(trimethylsilyl)-",TimePoint:Group,30,2.0,27.0,0.311187375519741,0.7351689231971936,0.02253154396205782,0.9387986007508663,False
"Aminomalonic acid, tris(trimethylsilyl)-",Group,30,2.0,27.0,6.766934851971173,0.004148268990013403,0.3338903934609045,0.21900408519878165,False
"Aminomalonic acid, tris(trimethylsilyl)-",TimePoint,30,1.0,27.0,0.16588280976663133,0.6870082556017785,0.006106291885607098,0.8791266035576746,False
Arachidonic acid.1,TimePoint:Group,30,2.0,27.0,1.9121931295927133,0.16723836032775002,0.12407015104950514,0.7663524485767527,False
Arachidonic acid.1,Group,30,2.0,27.0,0.277048271567175,0.7601467511059181,0.020109407044681855,0.9916550460599678,False
Arachidonic acid.1,TimePoint,30,1.0,27.0,0.80073944382839,0.3787805958709184,0.02880281099883297,0.7782219515166142,False
beta-Alanine,TimePoint:Group,30,2.0,27.0,0.0634080170829068,0.9386997823732564,0.004674932509812089,0.9706434981865506,False
beta-Alanine,Group,30,2.0,27.0,0.2710358072831511,0.7646394009119883,0.019681584673522316,0.9916550460599678,False
beta-Alanine,TimePoint,30,1.0,27.0,1.7766616567609768,0.19369893740550542,0.06173967216741266,0.6000948049262188,False
beta-D-Xylopyranose,TimePoint:Group,30,2.0,27.0,2.277553568905077,0.12189065726787472,0.14435403809331726,0.7663524485767527,False
beta-D-Xylopyranose,Group,30,2.0,27.0,0.1622806346249844,0.8510256492150268,0.011878004775696721,0.9916550460599678,False
beta-D-Xylopyranose,TimePoint,30,1.0,27.0,0.24916948645387263,0.6217035365131598,0.00914411305554615,0.8791266035576746,False
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",TimePoint:Group,30,2.0,27.0,2.809353708393782,0.07791296439132767,0.17225414069889958,0.7663524485767527,False
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",Group,30,2.0,27.0,0.4487174075356577,0.6431216813941354,0.032169080097159505,0.9916550460599678,False
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",TimePoint,30,1.0,27.0,0.08555991188417383,0.7721356569821357,0.0031588755101434403,0.8791266035576746,False
Campesterol,TimePoint:Group,30,2.0,27.0,0.6098852700107295,0.5507301612861895,0.04322397087855737,0.9097607408598654,False
Campesterol,Group,30,2.0,27.0,0.18548365033484762,0.8317519880772264,0.013553313501661252,0.9916550460599678,False
Campesterol,TimePoint,30,1.0,27.0,0.9377939707972596,0.34144109430712555,0.03356721621533591,0.7511350268482675,False
"D-(-)-Ribofuranose, tetrakis(trimethylsilyl) ether (isomer 1)",TimePoint:Group,30,2.0,27.0,1.1032109472267106,0.3463004305629478,0.0755457790217172,0.7904021051616524,False
"D-(-)-Ribofuranose, tetrakis(trimethylsilyl) ether (isomer 1)",Group,30,2.0,27.0,0.16251196965810863,0.8508311394942063,0.011894735757159255,0.9916550460599678,False
"D-(-)-Ribofuranose, tetrakis(trimethylsilyl) ether (isomer 1)",TimePoint,30,1.0,27.0,0.0010010898008953508,0.9749918760324627,3.707602535053758e-05,0.9856646524605466,False
"D-Arabinose, tetrakis(trimethylsilyl) ether, ethyloxime (isomer 1)",TimePoint:Group,30,2.0,27.0,0.2249641093509643,0.8000266222803679,0.016390870501271027,0.9454739748064932,False
"D-Arabinose, tetrakis(trimethylsilyl) ether, ethyloxime (isomer 1)",Group,30,2.0,27.0,0.04557615299239984,0.9555201826668025,0.003364652228715384,0.9916550460599678,False
"D-Arabinose, tetrakis(trimethylsilyl) ether, ethyloxime (isomer 1)",TimePoint,30,1.0,27.0,0.08061239168386138,0.7786351965996186,0.002976756600549273,0.8791266035576746,False
Diethanolamine,TimePoint:Group,30,2.0,27.0,0.4548881272813279,0.6392931121751219,0.03259704579014411,0.9097607408598654,False
Diethanolamine,Group,30,2.0,27.0,1.5455604427658365,0.23146902561167426,0.10272534869307368,0.9916550460599678,False
Diethanolamine,TimePoint,30,1.0,27.0,0.2640627347427685,0.6115228355639444,0.009685377315621843,0.8791266035576746,False
DL-Ornithine,TimePoint:Group,30,2.0,27.0,0.38937206888612685,0.6812250559249349,0.028033813692583513,0.9097607408598654,False
DL-Ornithine,Group,30,2.0,27.0,2.1297448796728897,0.13840614436216778,0.1362622932152084,0.9916550460599678,False
DL-Ornithine,TimePoint,30,1.0,27.0,0.7327340770971599,0.39953161238117396,0.026421270800785636,0.7826702478761891,False
Doconexent,TimePoint:Group,30,2.0,27.0,0.15030779978768807,0.8611580700821846,0.011011312125139472,0.9454739748064932,False
Doconexent,Group,30,2.0,27.0,0.10373429662087576,0.9018223060640942,0.007625428015500349,0.9916550460599678,False
Doconexent,TimePoint,30,1.0,27.0,1.5662256446093188,0.22149077316037635,0.05482788185231879,0.6000948049262188,False
Dodecanoic acid,TimePoint:Group,30,2.0,27.0,6.475797513614007,0.0050431299467025665,0.3241821764162652,0.3353405618586275,False
Dodecanoic acid,Group,30,2.0,27.0,0.6895424739612621,0.5104257529425321,0.04859511680708646,0.9916550460599678,False
Dodecanoic acid,TimePoint,30,1.0,27.0,0.12961789373365817,0.7216295605313621,0.004777726477437673,0.8791266035576746,False
Erythritol,TimePoint:Group,30,2.0,27.0,0.4540214527854004,0.6398293519415723,0.03253696107044267,0.9097607408598654,False
Erythritol,Group,30,2.0,27.0,0.039039500406200495,0.9617669037305554,0.0028834763651460816,0.9916550460599678,False
Erythritol,TimePoint,30,1.0,27.0,1.2784368021777262,0.26813392650085655,0.045208892242561076,0.6886166748771998,False
"Ethanolamine, 2TMS",TimePoint:Group,30,2.0,27.0,0.8130465476307206,0.4540699330208188,0.05680457650473487,0.869659363243263,False
"Ethanolamine, 2TMS",Group,30,2.0,27.0,0.43566823656308634,0.6512992726245984,0.03126281633341567,0.9916550460599678,False
"Ethanolamine, 2TMS",TimePoint,30,1.0,27.0,0.27863532424022713,0.6019087089376827,0.010214415821330598,0.8791266035576746,False
"Ethanolamine, 3TMS",TimePoint:Group,30,2.0,27.0,0.20642756174131802,0.8147571112489048,0.015060639310385895,0.9454739748064932,False
"Ethanolamine, 3TMS",Group,30,2.0,27.0,0.30161660839741217,0.7420811963069741,0.02185371590556265,0.9916550460599678,False
"Ethanolamine, 3TMS",TimePoint,30,1.0,27.0,0.010371694453302542,0.9196350450235643,0.0003839893271602928,0.962210741552433,False
Ethyl alpha-D-glucopyranoside,TimePoint:Group,30,2.0,27.0,0.770452825979178,0.4727115267407971,0.05398937478540122,0.8843754906189962,False
Ethyl alpha-D-glucopyranoside,Group,30,2.0,27.0,0.017279965142583988,0.9828793376877557,0.0012783611190375843,0.9916550460599678,False
Ethyl alpha-D-glucopyranoside,TimePoint,30,1.0,27.0,0.2206667213407815,0.64230426524153,0.008106587674716306,0.8791266035576746,False
Glyceric acid,TimePoint:Group,30,2.0,27.0,0.46228292501909846,0.634737291597458,0.03310940821795917,0.9097607408598654,False
Glyceric acid,Group,30,2.0,27.0,0.3041144014649591,0.7402705150053643,0.02203070712255797,0.9916550460599678,False
Glyceric acid,TimePoint,30,1.0,27.0,1.6173085665077476,0.21431307695703836,0.05651504797346888,0.6000948049262188,False
Glycerol,TimePoint:Group,30,2.0,27.0,0.07769739959283198,0.9254504699911673,0.0057224282811872045,0.968295399157425,False
Glycerol,Group,30,2.0,27.0,0.018166382210898058,0.9820096239720768,0.0013438495796888501,0.9916550460599678,False
Glycerol,TimePoint,30,1.0,27.0,0.10715907954437003,0.7459265688510741,0.003953165259034264,0.8791266035576746,False
Glycolic acid,TimePoint:Group,30,2.0,27.0,0.18694872713890268,0.8305508557877328,0.013658904615330003,0.9454739748064932,False
Glycolic acid,Group,30,2.0,27.0,1.8064328077758287,0.18352998041028723,0.11801788375264956,0.9916550460599678,False
Glycolic acid,TimePoint,30,1.0,27.0,0.13337540492004815,0.7178030314784739,0.0049155478420817265,0.8791266035576746,False
"L-(+)-Erythrulose, tris(trimethylsilyl) ether, trimethylsilyloxime (isomer 2)",TimePoint:Group,30,2.0,27.0,1.6026139784459132,0.21993899062648867,0.1061150063646681,0.7663524485767527,False
"L-(+)-Erythrulose, tris(trimethylsilyl) ether, trimethylsilyloxime (isomer 2)",Group,30,2.0,27.0,0.9108274868350533,0.41419558468051226,0.06320438487429925,0.9916550460599678,False
"L-(+)-Erythrulose, tris(trimethylsilyl) ether, trimethylsilyloxime (isomer 2)",TimePoint,30,1.0,27.0,1.555442494802013,0.2230440867867362,0.0544709645135127,0.6000948049262188,False
L-5-Oxoproline,TimePoint:Group,30,2.0,27.0,0.12342473961984536,0.88438397903231,0.009059743932147965,0.9517656155300098,False
L-5-Oxoproline,Group,30,2.0,27.0,0.07556832612002727,0.9274117758177516,0.00556649447777669,0.9916550460599678,False
L-5-Oxoproline,TimePoint,30,1.0,27.0,0.04234751627792781,0.8385025238666303,0.0015659704192632332,0.8944936061726617,False
L-Alanine,TimePoint:Group,30,2.0,27.0,0.927658544781034,0.40771982220787467,0.06429723450286387,0.8531914798053674,False
L-Alanine,Group,30,2.0,27.0,0.09312195352786377,0.9113737076525421,0.006850667112840517,0.9916550460599678,False
L-Alanine,TimePoint,30,1.0,27.0,0.47451893694752484,0.49679276404835404,0.01727123732490163,0.8505694293555153,False
L-Aspartic acid,TimePoint:Group,30,2.0,27.0,2.6325566851105497,0.09026360566574096,0.1631828566602994,0.7663524485767527,False
L-Aspartic acid,Group,30,2.0,27.0,0.45575356520402177,0.6387581191665679,0.03265703733407527,0.9916550460599678,False
L-Aspartic acid,TimePoint,30,1.0,27.0,0.0008388977086563341,0.9771065485714184,3.10693201731419e-05,0.9856646524605466,False
L-Norvaline,TimePoint:Group,30,2.0,27.0,0.8688030284693224,0.4308517793839564,0.0604645374251382,0.869659363243263,False
L-Norvaline,Group,30,2.0,27.0,2.6529430637337095,0.08873775437230524,0.16423899058308752,0.9772975969663831,False
L-Norvaline,TimePoint,30,1.0,27.0,0.05246126166197836,0.8205606387490509,0.0019392417257177647,0.8944936061726617,False
L-Proline,TimePoint:Group,30,2.0,27.0,1.0711484157789095,0.356730153657029,0.0735115987576502,0.7904021051616524,False
L-Proline,Group,30,2.0,27.0,0.33124906394066317,0.7209031933630934,0.023949323912057945,0.9916550460599678,False
L-Proline,TimePoint,30,1.0,27.0,0.08772598080818125,0.7693545060758021,0.003238587870769796,0.8791266035576746,False
L-Rhamnose,TimePoint:Group,30,2.0,27.0,0.5173621106411528,0.6018814025460177,0.03690866416644841,0.9097607408598654,False
L-Rhamnose,Group,30,2.0,27.0,0.7125579104228409,0.49937930027457234,0.05013579644944021,0.9916550460599678,False
L-Rhamnose,TimePoint,30,1.0,27.0,0.08907438801557543,0.7676420742871798,0.0032882034557438653,0.8791266035576746,False
Lactic Acid.1,TimePoint:Group,30,2.0,27.0,0.024080923071819808,0.9762276506610421,0.0017805959021391406,0.9849439689705157,False
Lactic Acid.1,Group,30,2.0,27.0,0.08904948901609817,0.915067837170012,0.006553032946717579,0.9916550460599678,False
Lactic Acid.1,TimePoint,30,1.0,27.0,9.295424675225812,0.0050956183905198,0.25610458503797573,0.06380282861952803,False
Methyl galactoside,TimePoint:Group,30,2.0,27.0,0.08368664356522844,0.9199570237255604,0.006160819647946746,0.968295399157425,False
Methyl galactoside,Group,30,2.0,27.0,0.007829598705773716,0.9922032246544292,0.0005796341039513774,0.9922032246544292,False
Methyl galactoside,TimePoint,30,1.0,27.0,0.8682369591079653,0.35970159354042686,0.03115507308129896,0.7527088901864487,False
"N-Acetylglutamine,N,N',O,O'- tetrakis(trimethylsilyl)-",TimePoint:Group,30,2.0,27.0,1.5034096016911154,0.2404038036694446,0.10020452961049987,0.7663524485767527,False
"N-Acetylglutamine,N,N',O,O'- tetrakis(trimethylsilyl)-",Group,30,2.0,27.0,2.7749557212153517,0.08016565828230815,0.1705046556653936,0.9772975969663831,False
"N-Acetylglutamine,N,N',O,O'- tetrakis(trimethylsilyl)-",TimePoint,30,1.0,27.0,0.44962830958354144,0.5082071090555973,0.016380123785740365,0.8571254227355596,False
Nonanoic acid,TimePoint:Group,30,2.0,27.0,0.14082873309588256,0.8692719504611025,0.010324059912444958,0.9454739748064932,False
Nonanoic acid,Group,30,2.0,27.0,0.7687544754950925,0.4734716680229953,0.0538767750762926,0.9916550460599678,False
Nonanoic acid,TimePoint,30,1.0,27.0,0.575374155698562,0.45470217818123326,0.020865506754317552,0.8155769227695137,False
Oxalic acid,TimePoint:Group,30,2.0,27.0,0.21453578694121575,0.8082781924786144,0.015642949223661922,0.9454739748064932,False
Oxalic acid,Group,30,2.0,27.0,1.6948992906064446,0.20257470904749933,0.11154396341766075,0.9916550460599678,False
Oxalic acid,TimePoint,30,1.0,27.0,1.5675754727235278,0.2212972840645906,0.054872541571483975,0.6000948049262188,False
Palmitelaidic acid,TimePoint:Group,30,2.0,27.0,5.248468415965631,0.01187046236667708,0.27994118236859244,0.3353405618586275,False
Palmitelaidic acid,Group,30,2.0,27.0,4.58347923104533,0.01932853716120631,0.2534622443216851,0.5460311748040783,False
Palmitelaidic acid,TimePoint,30,1.0,27.0,16.88291887230632,0.00033161184547942957,0.3847264335682285,0.012894939021102936,True
