Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
Muscle_Temp1_°C_,alpha-D-Glucopyranoside,Group_8C vs Group_15C (Reference),-2.4213471510694844,0.02288901119807532,-4.5071338602487785,-0.33556044189018985,0.1413716833639217,-0.03750921593526124,1.343339082077592,1.4416158649990205e-05,0.09957043632889162,0.8993609430042226,-1.0780080689918925,0.2896868412841558,0.9985735007953371,False
Mean_Skin_Temp_°C_,Palmitelaidic_acid,Group_22C vs Group_15C (Reference),3.5670489458507344,0.02381452683507569,0.47370722410989385,6.6603906675915745,0.370157066146782,0.23893978826069495,-1.4854802648494674,0.16752620938811835,2.081568681001267,0.07135204883098822,-1.4712755102027388,0.11332155177544156,0.9985735007953371,False
Mean_Skin_Temp_°C_,2-Keto-3-methylvaleric_acid,Group_22C vs Group_15C (Reference),-3.468470015383463,0.023923425511749235,-6.4786570671406,-0.4582829636263259,0.23688695207161437,0.07790506708653411,1.5761666027420804,0.23859859313968523,-1.8923034126413825,0.01220052199211974,0.060578349433960677,0.8718911559683462,0.9985735007953371,False
Mean_Body_Temp_°C_,Ethyl_alpha-D-glucopyranoside,Group_8C vs Group_22C Contrast,-5.412944021744681,0.024081131506268824,-10.116028542144294,-0.7098595013450684,0.1734924533351775,0.0013033811133394968,1.6309517985524606,0.553074660379212,2.4454286193791774,0.2414787083079779,-2.9675154023655037,0.012106973149545786,0.9985735007953371,False
Muscle_Temp1_°C_,"D-Arabinose,_tetrakis",Group_8C vs Group_22C Contrast,5.585084045683486,0.026309203615469855,0.6576978256056716,10.5124702657613,0.20320481442697602,0.0372058174325961,-1.539904094323765,0.15221293455507875,-2.4619911259951546,0.26143212433970975,3.1230929196883315,0.011138818470793455,0.9985735007953371,False
Mean_Skin_Temp_°C_,"R*,R*-2,3-Dihydroxybutanoic_acid",Group_22C vs Group_15C (Reference),-4.798869464566377,0.030590517649897123,-9.148568775326527,-0.44917015380622605,0.3551535195670258,0.22081050281015624,2.8591146136769416,0.026503569098079625,-1.9397548508894356,0.28301800259036725,-0.2543491883083826,0.8032549140596803,0.9985735007953371,False
Mean_Body_Temp_°C_,Palmitelaidic_acid,Group_22C vs Group_15C (Reference),5.7530372519706825,0.03204130927788717,0.4935696176920228,11.012504886249342,0.3807601097039899,0.2517517992256545,-2.8636018760560016,0.1514782883863259,2.889435375914681,0.10707711076477544,-5.315204208459138,0.004236387145766463,0.9985735007953371,False
Muscle_Temp3_°C_,L-Alanine,Group_8C vs Group_15C (Reference),-6.207938481910767,0.03258084689203517,-11.901029507045166,-0.5148474567763683,0.2097221555852914,0.04508093799889379,3.050602279667213,0.08665692033568716,1.0389549056288154,0.8069488228159407,-3.157336202243554,0.16889588664038824,0.9985735007953371,False
Muscle_Temp3_°C_,Linoleic_Acid,Group_22C vs Group_15C (Reference),-5.431484523503535,0.03306803977170051,-10.426432551915983,-0.4365364950910857,0.2954186806357033,0.14863090576814153,2.8248209425531545,0.19258051052888525,-2.6066635809503804,0.05168569057896133,1.4042818027521364,0.3723345804425211,0.9985735007953371,False
Muscle_Temp3_°C_,Cysteine,Group_8C vs Group_15C (Reference),-1.992379592008877,0.03404755907655929,-3.834784649633449,-0.14997453438430508,0.15340002652147267,-0.022974967953220515,1.0987318168765603,0.11874876832927327,0.8525447718125889,0.549869989382429,-0.8936477751323166,0.1511755007287945,0.9985735007953371,False
Mean_Body_Temp_°C_,1-Heptadecanol,Group_8C vs Group_22C Contrast,-2.8083908000528535,0.03488490384440875,-5.4175139636712535,-0.19926763643445344,0.1360216980429314,-0.04397378153145781,-1.4080521876592857,0.2390658776672241,2.0904130854715275,0.0726549546703239,-0.7179777145813258,0.2655209688388973,0.9985735007953371,False
Muscle_Temp1_°C_,Glycerol-3-P,Group_8C vs Group_15C (Reference),-1.0849406477624268,0.035235217837442497,-2.0948187584800517,-0.07506253704480192,0.17393305605363263,0.001835776064806116,0.08792106224742498,0.5626904903093717,-1.111466464077572,0.08961023820175673,-0.9970195855150018,0.04286819471516057,0.9985735007953371,False
Mean_Body_Temp_°C_,2-Aminoheptanedioic_acid,Group_22C vs Group_15C (Reference),8.412407553660152,0.035496558140182745,0.5708589480383734,16.25395615928193,0.35109627978695956,0.2159080047425762,-2.944668307648747,0.29760213379298794,5.467739246011405,0.053434510079904074,5.131076805269098,0.0005977417946207986,0.9985735007953371,False
Muscle_Temp1_°C_,Decanoic_acid,Group_8C vs Group_22C Contrast,1.5073792306370295,0.03555690535671809,0.10180286136083971,2.9129555999132193,0.2749948752361755,0.12395214091037876,-0.002382399181592419,0.9943798412001503,-0.23657110062215217,0.3851890027336946,1.2708081300148775,0.055404874687768446,0.9985735007953371,False
Muscle_Temp3_°C_,Asparagine,Group_8C vs Group_22C Contrast,3.8328568137006442,0.03561312712889823,0.2577662933803033,7.407947334020985,0.3109644495900197,0.16741537658794048,1.9430832628003414,0.4064017160892933,-0.5101628458125098,0.667730097743334,3.322693967888134,0.01633694371927774,0.9985735007953371,False
Mean_Body_Temp_°C_,1-Heptadecanol,Group_22C vs Group_15C (Reference),3.4984652731308135,0.03610426000012297,0.22667152945442082,6.770259016807206,0.1360216980429314,-0.04397378153145781,-1.4080521876592857,0.2390658776672241,2.0904130854715275,0.0726549546703239,-0.7179777145813258,0.2655209688388973,0.9985735007953371,False
Muscle_Temp1_°C_,beta-Alanine,Group_8C vs Group_15C (Reference),-2.146229949664998,0.03679111994118895,-4.160781402111006,-0.13167849721899083,0.19814618479613466,0.03109330662866272,-0.2707980615056172,0.5080606875398356,-1.310750839536992,0.27732383167121033,-2.4170280111706153,0.010366033263491614,0.9985735007953371,False
Mean_Body_Temp_°C_,"Ethanolamine,_2TMS",Group_22C vs Group_15C (Reference),7.563308930030139,0.03726072729466428,0.4463837925721226,14.680234067488156,0.269028244533592,0.11674246214475703,-9.698088337240279,0.003302857256224986,-2.1347794072101394,0.15829386035792403,0.34945720463874785,0.7740806514137979,0.9985735007953371,False
Muscle_Temp1_°C_,3-OH-Butanoic_Acid,Group_8C vs Group_22C Contrast,1.481040713674175,0.037655685607392755,0.08449332603062465,2.877588101317725,0.16665669721575982,-0.006956490864290066,-0.2189124533508882,0.8230035821290095,-1.3135860979565506,0.05033262812591022,0.16745461571762435,0.48385103314620936,0.9985735007953371,False
Muscle_Temp2_°C_,Linoleic_Acid,Group_8C vs Group_15C (Reference),-3.874654715059226,0.03776820881052616,-7.530341880866491,-0.21896754925196182,0.35512811485591156,0.22077980545089315,4.249706204921727,0.0028272426438040632,-1.3921260551896095,0.1566207288854915,0.37505148986250125,0.7557146576092229,0.9985735007953371,False
Muscle_Temp3_°C_,"D-Arabinose,_tetrakis",Group_8C vs Group_22C Contrast,9.017883997609449,0.03931276845146762,0.4415001576640911,17.594267837554806,0.25096565069191756,0.09491682791940048,-0.9557681769885911,0.7104258562941663,-4.623318041383445,0.2556530423108272,4.394565956226003,0.006468320566512364,0.9985735007953371,False
