Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2179392,EGFR Transactivation by Gastrin,1,10,8.23E-04,0.009827931,0.029483793,2,6,3.82E-04,9606,Homo sapiens,P08254,P08254,R-HSA-2179413;R-HSA-2179402
R-HSA-159782,Removal of aminoterminal propeptides from gamma-carboxylated proteins,1,10,8.23E-04,0.009827931,0.029483793,1,9,5.73E-04,9606,Homo sapiens,P02818,P02818,R-HSA-6807224
R-HSA-159740,Gamma-carboxylation of protein precursors,1,10,8.23E-04,0.009827931,0.029483793,1,9,5.73E-04,9606,Homo sapiens,P02818,P02818,R-HSA-6807214
R-HSA-8877330,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),1,10,8.23E-04,0.009827931,0.029483793,1,20,0.001272831,9606,Homo sapiens,P01579,P01579,R-HSA-9006422
R-HSA-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",1,11,9.05E-04,0.010805838,0.032417515,3,27,0.001718322,9606,Homo sapiens,P02818,P02818,R-HSA-6807214;R-HSA-6807229;R-HSA-6807224
R-HSA-9942503,Differentiation of naive CD4+ T cells to T helper 1 cells (Th1 cells),1,12,9.87E-04,0.01178286,0.035348581,1,16,0.001018265,9606,Homo sapiens,P01579,P01579,R-HSA-9942709
R-HSA-877312,Regulation of IFNG signaling,1,14,0.001151789,0.013734251,0.03719457,2,4,2.55E-04,9606,Homo sapiens,P01579,P01579,R-HSA-877308;R-HSA-877269
R-HSA-8939211,ESR-mediated signaling,2,195,0.016042781,0.015264816,0.03719457,1,111,0.007064214,9606,Homo sapiens,P08253;P08254,P08253;P08254,R-HSA-9624272
R-HSA-6788467,IL-6-type cytokine receptor ligand interactions,1,17,0.001398601,0.016654715,0.03719457,2,14,8.91E-04,9606,Homo sapiens,P20809,P20809,R-HSA-449829;R-HSA-449976
R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,1,19,0.001563143,0.018597285,0.03719457,2,9,5.73E-04,9606,Homo sapiens,P08254,P08254,R-HSA-2179413;R-HSA-2179402
R-HSA-418990,Adherens junctions interactions,2,236,0.019415878,0.02186247,0.039491184,10,162,0.010309934,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-9958871;R-HSA-1112514;R-HSA-1067651;R-HSA-1067667;R-HSA-1067640;R-HSA-1067688;R-HSA-9958878;R-HSA-9958877;R-HSA-1067659;R-HSA-1112510
R-HSA-9968734,Differentiation of Circulating Monocytes,1,25,0.002056767,0.024403907,0.039491184,1,2,1.27E-04,9606,Homo sapiens,P01579,P01579,R-HSA-9982455
R-HSA-8854691,Interleukin-20 family signaling,1,25,0.002056767,0.024403907,0.039491184,7,56,0.003563928,9606,Homo sapiens,Q9NYY1,Q9NYY1,R-HSA-8987179;R-HSA-9009227;R-HSA-8987104;R-HSA-8987141;R-HSA-8987156;R-HSA-8987220;R-HSA-8987015
R-HSA-210991,Basigin interactions,1,25,0.002056767,0.024403907,0.039491184,1,10,6.36E-04,9606,Homo sapiens,P03956,P03956,R-HSA-375135
R-HSA-8940973,RUNX2 regulates osteoblast differentiation,1,25,0.002056767,0.024403907,0.039491184,1,24,0.001527398,9606,Homo sapiens,P02818,P02818,R-HSA-8877922
R-HSA-912694,Regulation of IFNA/IFNB signaling,1,26,0.002139037,0.02536861,0.039491184,4,5,3.18E-04,9606,Homo sapiens,P01563,P01563,R-HSA-997311;R-HSA-997309;R-HSA-912680;R-HSA-997314
R-HSA-421270,Cell-cell junction organization,2,269,0.02213081,0.027895743,0.039491184,10,167,0.010628142,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-9958871;R-HSA-1112514;R-HSA-1067651;R-HSA-1067667;R-HSA-1067640;R-HSA-1067688;R-HSA-9958878;R-HSA-9958877;R-HSA-1067659;R-HSA-1112510
R-HSA-9006931,Signaling by Nuclear Receptors,2,270,0.022213081,0.028088162,0.039491184,1,192,0.012219182,9606,Homo sapiens,P08253;P08254,P08253;P08254,R-HSA-9624272
R-HSA-933541,TRAF6 mediated IRF7 activation,1,29,0.002385849,0.028257475,0.039491184,1,13,8.27E-04,9606,Homo sapiens,P01563,P01563,R-HSA-9604499
R-HSA-8941326,RUNX2 regulates bone development,1,32,0.002632661,0.031138488,0.039491184,1,32,0.00203653,9606,Homo sapiens,P02818,P02818,R-HSA-8877922
R-HSA-5684996,MAPK1/MAPK3 signaling,2,286,0.023529412,0.031241145,0.039491184,2,82,0.005218609,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109857;R-HSA-109858
R-HSA-446728,Cell junction organization,2,296,0.024352118,0.033281517,0.039491184,10,183,0.011646407,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-9958871;R-HSA-1112514;R-HSA-1067651;R-HSA-1067667;R-HSA-1067640;R-HSA-1067688;R-HSA-9958878;R-HSA-9958877;R-HSA-1067659;R-HSA-1112510
R-HSA-9833109,Evasion by RSV of host interferon responses,1,37,0.003044015,0.035922783,0.039491184,1,12,7.64E-04,9606,Homo sapiens,P01563,P01563,R-HSA-909719
R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,1,37,0.003044015,0.035922783,0.039491184,1,36,0.002291097,9606,Homo sapiens,P01579,P01579,R-HSA-9006431
R-HSA-5683057,MAPK family signaling cascades,2,325,0.026737968,0.039491184,0.039491184,2,122,0.007764272,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109857;R-HSA-109858
R-HSA-1500931,Cell-Cell communication,2,334,0.027478404,0.041503985,0.041503985,10,206,0.013110164,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-9958871;R-HSA-1112514;R-HSA-1067651;R-HSA-1067667;R-HSA-1067640;R-HSA-1067688;R-HSA-9958878;R-HSA-9958877;R-HSA-1067659;R-HSA-1112510
R-HSA-9020591,Interleukin-12 signaling,1,46,0.003784451,0.044479977,0.044479977,1,56,0.003563928,9606,Homo sapiens,P01579,P01579,R-HSA-9006431
R-HSA-913531,Interferon Signaling,2,361,0.029699712,0.047775272,0.047775272,28,157,0.009991727,9606,Homo sapiens,P01579;P01563,P01579;P01563,R-HSA-9689680;R-HSA-9732753;R-HSA-9734547;R-HSA-873924;R-HSA-873927;R-HSA-873926;R-HSA-873921;R-HSA-997314;R-HSA-873922;R-HSA-909724;R-HSA-909726;R-HSA-909720;R-HSA-9732738;R-HSA-909722;R-HSA-877269;R-HSA-909719;R-HSA-909718;R-HSA-912680;R-HSA-909732;R-HSA-909729;R-HSA-9732729;R-HSA-909730;R-HSA-997311;R-HSA-877308;R-HSA-997309;R-HSA-873919;R-HSA-873918;R-HSA-909552
R-HSA-3928665,EPH-ephrin mediated repulsion of cells,1,51,0.004195804,0.049203834,0.049203834,1,9,5.73E-04,9606,Homo sapiens,P08253,P08253,R-HSA-3928657
R-HSA-447115,Interleukin-12 family signaling,1,56,0.004607158,0.053906274,0.053906274,1,114,0.007255139,9606,Homo sapiens,P01579,P01579,R-HSA-9006431
R-HSA-9616222,Transcriptional regulation of granulopoiesis,1,58,0.004771699,0.055781273,0.055781273,1,27,0.001718322,9606,Homo sapiens,P08887,P08887,R-HSA-9634430
R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",1,61,0.005018511,0.058587386,0.058587386,3,50,0.003182079,9606,Homo sapiens,P02818,P02818,R-HSA-6807214;R-HSA-6807229;R-HSA-6807224
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,1,61,0.005018511,0.058587386,0.058587386,1,26,0.001654681,9606,Homo sapiens,P08254,P08254,R-HSA-2213200
R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,1,75,0.0061703,0.071581783,0.071581783,2,26,0.001654681,9606,Homo sapiens,O75888,O75888,R-HSA-450595;R-HSA-450387
R-HSA-909733,Interferon alpha/beta signaling,1,80,0.006581654,0.076182649,0.076182649,13,25,0.001591039,9606,Homo sapiens,P01563,P01563,R-HSA-912680;R-HSA-909732;R-HSA-909729;R-HSA-997314;R-HSA-909730;R-HSA-997311;R-HSA-909724;R-HSA-997309;R-HSA-909726;R-HSA-909720;R-HSA-909722;R-HSA-909719;R-HSA-909718
