Pathway name,#Entities total,Expected_Hits,#Entities found,Raw p,Holm p,Entities FDR
Phenylketonuria,24,0.0197,1,0.0195,1,0.531
Tyrosinemia Type 2 (or Richner-Hanhart syndrome),24,0.0197,1,0.0195,1,0.531
Tyrosinemia Type 3 (TYRO3),24,0.0197,1,0.0195,1,0.531
Tyrosine metabolism and related disorders,24,0.0197,1,0.0195,1,0.531
Aerobic glycolysis - augmented,24,0.0197,1,0.0195,1,0.531
One-carbon metabolism,25,0.0205,1,0.0204,1,0.537
Proximal tubule transport,25,0.0205,1,0.0204,1,0.537
Metabolic pathways of fibroblasts,25,0.0205,1,0.0204,1,0.537
The phototransduction cascade,26,0.0213,1,0.0212,1,0.537
Cori cycle,26,0.0213,1,0.0212,1,0.537
Cobalamin (Cbl) metabolism,27,0.0221,1,0.022,1,0.537
Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease,27,0.0221,1,0.022,1,0.537
Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1),27,0.0221,1,0.022,1,0.537
"Fructose-1,6-diphosphatase deficiency",27,0.0221,1,0.022,1,0.537
Triosephosphate isomerase,27,0.0221,1,0.022,1,0.537
"Glycogenosis, Type IB",27,0.0221,1,0.022,1,0.537
"Glycogenosis, Type IC",27,0.0221,1,0.022,1,0.537
"Glycogenosis, Type IA. Von gierke disease",27,0.0221,1,0.022,1,0.537
Omega-9 fatty acid synthesis,27,0.0221,1,0.022,1,0.537
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",28,0.023,1,0.0228,1,0.545
Glycolysis / Gluconeogenesis,28,0.023,1,0.0228,1,0.545
Phenylalanine and Tyrosine Metabolism,28,0.023,1,0.0228,1,0.545
Disorders of folate metabolism and transport,29,0.0238,1,0.0236,1,0.56
Urea cycle and associated pathways,30,0.0246,1,0.0244,1,0.572
Metabolic reprogramming in pancreatic cancer,30,0.0246,1,0.0244,1,0.572
"Cobalamin (Cbl, vitamin B12) transport and metabolism",31,0.0254,1,0.0252,1,0.586
Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine,32,0.0263,1,0.026,1,0.601
The canonical retinoid cycle in rods (twilight vision),33,0.0271,1,0.0268,1,0.611
Phenylalanine and tyrosine metabolism,33,0.0271,1,0.0268,1,0.611
Organic cation/anion/zwitterion transport,35,0.0287,1,0.0284,1,0.613
Aspirin ADME,35,0.0287,1,0.0284,1,0.613
Retinoid metabolism and transport,35,0.0287,1,0.0284,1,0.613
Glutaminolysis and Cancer,36,0.0295,1,0.0292,1,0.613
Octadecanoid formation from linoleic acid,36,0.0295,1,0.0292,1,0.613
